Chapter,Question,Correct Option,Incorrect Option 1,Incorrect Option 2,Incorrect Option 3,GIFT FORMAT
1,"Among the levels of Richardson Maturity, which one starts to introduce the correct modeling of multiple resources URIs accessed by different request methods based on the effect of the resources of the server?",Level 2 - Verbs,Level 1 - Resources,Level 0 - HTTP/RPC,Level 3 - Hypermedia Controls,"Among the levels of Richardson Maturity, which one starts to introduce the correct modeling of multiple resources URIs accessed by different request methods based on the effect of the resources of the server? {
=Level 2 - Verbs
~Level 1 - Resources
~Level 0 - HTTP/RPC
~Level 3 - Hypermedia Controls
 }"
,What is the key difference between REST and RPC?,REST is stateless while RPC state depends on the implementation.,RPC is stateless while REST state depends on the implementation.,REST uses the HTTP protocol.,RPC has an easy way to deal with routing.,"What is the key difference between REST and RPC? {
=REST is stateless while RPC state depends on the implementation.
~RPC is stateless while REST state depends on the implementation.
~REST uses the HTTP protocol.
~RPC has an easy way to deal with routing.
 }"
,The main reason to use JSON in Rest API is that it is more readable for the developers,FALSE,TRUE,,,"The main reason to use JSON in Rest API is that it is more readable for the developers {
=FALSE
~TRUE
 }"
,"When you are building an API you can see the term REST, what is REST?","Representation State Transfer (REST) is a set of architectural constraints, most commonly applied using HTTP as the underlying transport protocol.",REST is a messaging protocol specification for exchanging structured information in the implementation of web services in computer networks.,"In distributed computing, a REST is when a computer program causes a procedure to execute in a different address space, which is coded as if it were a normal procedure call, without the programmer explicitly coding the details for the remote interaction.",,"When you are building an API you can see the term REST, what is REST? {
=Representation State Transfer (REST) is a set of architectural constraints, most commonly applied using HTTP as the underlying transport protocol.
~REST is a messaging protocol specification for exchanging structured information in the implementation of web services in computer networks.
~In distributed computing, a REST is when a computer program causes a procedure to execute in a different address space, which is coded as if it were a normal procedure call, without the programmer explicitly coding the details for the remote interaction.
 }"
,"When you are building an API you can see the term RPC, what is RPC?",It’s an API classification that involves calling a method in one process but having it execute code in another process.,It’s a set of architectural constraints that are applied using the HTTP protocol.,It’s a protocol in which the requests of an API are processed.,Remote Persistence Call.,"When you are building an API you can see the term RPC, what is RPC? {
=It’s an API classification that involves calling a method in one process but having it execute code in another process.
~It’s a set of architectural constraints that are applied using the HTTP protocol.
~It’s a protocol in which the requests of an API are processed.
~Remote Persistence Call.
 }"
,What do you need to consider before extending an API to customers?,You need to consider error handling.,You need to consider routing.,You need to consider pagination.,You need to consider caching.,"What do you need to consider before extending an API to customers? {
=You need to consider error handling.
~You need to consider routing.
~You need to consider pagination.
~You need to consider caching.
 }"
,What is the OpenAPI Specification?,It’s a representation of the API that describes it in detail for the consumers.,It’s the API documentation.,It’s a tool for generating REST APIs.,It’s a standard in the IA segment.,"What is the OpenAPI Specification? {
=It’s a representation of the API that describes it in detail for the consumers.
~It’s the API documentation.
~It’s a tool for generating REST APIs.
~It’s a standard in the IA segment.
 }"
,It’s true or false that OpenAPI has more strict specifications than gRPC.,FALSE,TRUE,,,"It’s true or false that OpenAPI has more strict specifications than gRPC. {
=FALSE
~TRUE
 }"
,What is the upgrade option in which the API owner has to maintain old and new API versions?,Release a new version and deploy it in a new location.,Release a new version of the API that is backward compatible.,Break compatibility with the previous API version.,Release major changes.,"What is the upgrade option in which the API owner has to maintain old and new API versions? {
=Release a new version and deploy it in a new location.
~Release a new version of the API that is backward compatible.
~Break compatibility with the previous API version.
~Release major changes.
 }"
,What does the major version represent in semantic versioning?,It represents breaking changes with the previous version of the API.,It represents backward compatibility changes with the previous version of the API.,It represents bug fixes for an existing version of the API.,,"What does the major version represent in semantic versioning? {
=It represents breaking changes with the previous version of the API.
~It represents backward compatibility changes with the previous version of the API.
~It represents bug fixes for an existing version of the API.
 }"
